Data,Lançamento,Dcto.,Crédito (R$),Débito (R$),Saldo (R$),,
19/07/2017,DEP DINH CORRESP BANC O PROPRIO FAVORECIDO,5882080,1000,0,,"R$ 1.162,00",5
19/07/2017,DEP DINH CORRESP BANC O PROPRIO FAVORECIDO,5882080,1000,0,,"R$ 2.162,00",5
19/07/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,86,29,,"R$ 2.248,00",34
19/07/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,78,85,,"R$ 2.327,00",19
20/07/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,16,55,,"R$ 2.343,00",74
20/07/2017,CHEQUE COMPENSADO,366,,-2000,0,"R$ 343,00",74
21/07/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,69,42,,"R$ 413,00",16
21/07/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,29,20,,"R$ 442,00",36
24/07/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,29,8,,"R$ 471,00",44
24/07/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,100,7,,"R$ 571,00",51
24/07/2017,REDE HIPER CRED REDECARD S A,6907268,102,12,,"R$ 673,00",63
25/07/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,58,17,,"R$ 731,00",80
25/07/2017,REDE HIPER CRED REDECARD S A,6907268,31,71,,"R$ 763,00",51
27/07/2017,REDE HIPER CRED REDECARD S A,6907268,40,43,,"R$ 803,00",94
28/07/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,19,39,,"R$ 823,00",33
31/07/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,35,87,,"R$ 859,00",20
31/07/2017,CIELO VDA CREDITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,101,37,,"R$ 960,00",57
31/07/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,23,36,,"R$ 983,00",93
01/08/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,97,35,,"R$ 1.081,00",28
02/08/2017,VENDA CARTAO DE CREDITO,9338296,21,78,,"R$ 1.103,00",6
02/08/2017,VENDA CARTAO DE CREDITO,9338296,8375,54,,"R$ 9.478,00",60
02/08/2017,CIELO VDA CREDITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,64,22,,"R$ 9.542,00",82
03/08/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,26,18,,"R$ 9.569,00",0
03/08/2017,CIELO VDA CREDITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,120,39,,"R$ 9.689,00",39
04/08/2017,RECIBO DE RETIRADA ESPECIE,1000734,,-9500,0,"R$ 189,00",39
07/08/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,42,44,,"R$ 231,00",83
08/08/2017,DEP DINH CORRESP BANC O PROPRIO FAVORECIDO,5882080,900,0,,"R$ 1.131,00",83
08/08/2017,TARIFA RECIBO RETIRADA RETIRADA COM RECIBO AVULSO,40817,,-4,45,"R$ 1.127,00",38
08/08/2017,CHEQUE COMPENSADO,369,,-750,0,"R$ 377,00",38
08/08/2017,DEVOL CHQ COMPE IRREGUL,369,750,0,,"R$ 1.127,00",38
09/08/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,94,4,,"R$ 1.221,00",42
09/08/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,26,28,,"R$ 1.247,00",70
10/08/2017,DEP DINH CORRESP BANC O PROPRIO FAVORECIDO,5882080,800,0,,"R$ 2.047,00",70
10/08/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,140,57,,"R$ 2.188,00",27
10/08/2017,CHEQUE COMPENSADO,368,,-905,0,"R$ 1.283,00",27
11/08/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,47,31,,"R$ 1.330,00",58
14/08/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,55,49,,"R$ 1.386,00",7
14/08/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,56,46,,"R$ 1.442,00",53
15/08/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,20,44,,"R$ 1.462,00",97
15/08/2017,REDE HIPER CRED REDECARD S A,6907268,49,91,,"R$ 1.512,00",88
15/08/2017,TARIFA BANCARIA CESTA PJ 2,10817,,-48,90,"R$ 1.463,00",98
16/08/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,69,80,,"R$ 1.533,00",78
16/08/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,43,81,,"R$ 1.577,00",59
17/08/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,16,55,,"R$ 1.594,00",14
17/08/2017,CHEQUE COMPENSADO,370,,-1375,0,"R$ 219,00",14
22/08/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,29,20,,"R$ 248,00",34
24/08/2017,REDE HIPER CRED REDECARD S A,6907268,102,13,,"R$ 350,00",47
25/08/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,36,99,,"R$ 387,00",46
25/08/2017,REDE HIPER CRED REDECARD S A,6907268,31,72,,"R$ 419,00",18
28/08/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,81,15,,"R$ 500,00",33
28/08/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,50,62,,"R$ 550,00",95
29/08/2017,REDE HIPER CRED REDECARD S A,6907268,40,44,,"R$ 591,00",39
30/08/2017,VENDA CARTAO DE CREDITO,9338296,9083,6,,"R$ 9.674,00",45
01/09/2017,VENDA CARTAO DE CREDITO,9338296,925,10,,"R$ 10.599,00",55
01/09/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,59,14,,"R$ 10.658,00",69
05/09/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,8,73,,"R$ 10.667,00",42
05/09/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,63,2,,"R$ 10.730,00",44
05/09/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,48,67,,"R$ 10.779,00",11
05/09/2017,REDE HIPER CRED REDECARD S A,6907268,32,59,,"R$ 10.811,00",70
05/09/2017,CHEQUE COMPENSADO,373,,-665,0,"R$ 10.146,00",70
06/09/2017,SAQUE C/C BDN Ag05882maq026085seq0493206091510,6085932,,-2500,0,"R$ 7.646,00",70
06/09/2017,SAQUE C/C BDN Ag05882maq026085seq0493606091511,6085936,,-2500,0,"R$ 5.146,00",70
08/09/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,28,12,,"R$ 5.174,00",82
08/09/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,311,22,,"R$ 5.486,00",4
08/09/2017,SAQUE C/C BDN Ag05882maq026085seq0759608091019,6085596,,-2500,0,"R$ 2.986,00",4
08/09/2017,SAQUE C/C BDN Ag05882maq026085seq0760008091020,6085600,,-2500,0,"R$ 486,00",4
11/09/2017,DEP DINH CORRESP BANC O PROPRIO FAVORECIDO,5882291,200,0,,"R$ 686,00",4
11/09/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,77,56,,"R$ 763,00",60
11/09/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,29,20,,"R$ 792,00",80
11/09/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,85,67,,"R$ 878,00",47
12/09/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,43,81,,"R$ 922,00",28
13/09/2017,DEP DINH CORRESP BANC O PROPRIO FAVORECIDO,5882080,1000,0,,"R$ 1.922,00",28
15/09/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,93,26,,"R$ 2.015,00",54
15/09/2017,REDE HIPER CRED REDECARD S A,6907268,66,91,,"R$ 2.082,00",45
15/09/2017,TARIFA BANCARIA CESTA PJ 2,10917,,-48,90,"R$ 2.033,00",55
15/09/2017,CHEQUE COMPENSADO,371,,-1375,0,"R$ 658,00",55
18/09/2017,DEP DINH CORRESP BANC O PROPRIO FAVORECIDO,5882080,1800,0,,"R$ 2.458,00",55
18/09/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,24,24,,"R$ 2.482,00",79
18/09/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,26,28,,"R$ 2.509,00",7
18/09/2017,CHEQUE COMPENSADO,372,,-2254,50,"R$ 254,00",57
19/09/2017,DEP DINH CORRESP BANC O PROPRIO FAVORECIDO,5882080,1000,0,,"R$ 1.254,00",57
20/09/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,297,64,,"R$ 1.552,00",21
22/09/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,59,38,,"R$ 1.611,00",59
25/09/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,144,8,,"R$ 1.755,00",67
25/09/2017,REDE HIPER CRED REDECARD S A,6907268,72,95,,"R$ 1.828,00",62
27/09/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,105,14,,"R$ 1.933,00",76
27/09/2017,REDE HIPER CRED REDECARD S A,6907268,40,44,,"R$ 1.974,00",20
02/10/2017,VENDA CARTAO DE CREDITO,9338296,7152,28,,"R$ 9.126,00",48
02/10/2017,CIELO VDA CREDITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,328,33,,"R$ 9.454,00",81
02/10/2017,REDE HIPER CRED REDECARD S A,6907268,82,16,,"R$ 9.536,00",97
04/10/2017,CHEQUE COMPENSADO,375,,-1345,0,"R$ 8.191,00",97
13/10/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,50,41,,"R$ 8.242,00",38
13/10/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,24,24,,"R$ 8.266,00",62
13/10/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,41,86,,"R$ 8.308,00",48
13/10/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,212,71,,"R$ 8.521,00",19
13/10/2017,TARIFA BANCARIA CESTA PJ 2,21017,,-48,90,"R$ 8.472,00",29
13/10/2017,CHEQUE COMPENSADO,374,,-1635,0,"R$ 6.837,00",29
16/10/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,80,46,,"R$ 6.917,00",75
16/10/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,126,3,,"R$ 7.043,00",78
16/10/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,59,38,,"R$ 7.103,00",16
16/10/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,97,26,,"R$ 7.200,00",42
16/10/2017,REDE HIPER CRED REDECARD S A,6907268,33,31,,"R$ 7.233,00",73
16/10/2017,SAQUE COM CARTAO CB ESPECIE,5882080,,-409,12,"R$ 6.824,00",61
18/10/2017,CHEQUE COMPENSADO,377,,-1580,0,"R$ 5.244,00",61
19/10/2017,TARIFA BANCARIA TAR ENTREGA TAL DOMICILIO,1000001,,-8,0,"R$ 5.236,00",61
20/10/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,18,49,,"R$ 5.255,00",10
20/10/2017,CHEQUE COMPENSADO,376,,-1300,0,"R$ 3.955,00",10
23/10/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,140,19,,"R$ 4.095,00",29
25/10/2017,CHEQUE COMPENSADO,378,,-1000,0,"R$ 3.095,00",29
26/10/2017,CHEQUE COMPENSADO,381,,-1500,0,"R$ 1.595,00",29
27/10/2017,REDE HIPER CRED REDECARD S A,6907268,40,44,,"R$ 1.635,00",73
30/10/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,12,2,,"R$ 1.647,00",75
30/10/2017,CHEQUE COMPENSADO,379,,-1275,0,"R$ 372,00",75
01/11/2017,VENDA CARTAO DE CREDITO,9338296,118,6,,"R$ 490,00",81
01/11/2017,VENDA CARTAO DE CREDITO,9338296,5552,81,,"R$ 6.043,00",62
01/11/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,55,49,,"R$ 6.099,00",11
03/11/2017,REDE HIPER CRED REDECARD S A,6907268,34,26,,"R$ 6.133,00",37
06/11/2017,CARTAO VISA ELECTRON CIA BRAS DE MEIOS DE PAGAMENTO,9338296,100,83,,"R$ 6.234,00",20
06/11/2017,CIELO VDA DEBITO MASTER CIA BRAS DE MEIOS DE PAGAMENTO,9338296,20,36,,"R$ 6.254,00",56
06/11/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,57,93,,"R$ 6.312,00",49
06/11/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,173,77,,"R$ 6.486,00",26
06/11/2017,CHEQUE COMPENSADO,384,,-604,0,"R$ 5.882,00",26
08/11/2017,CIELO VDA DEBITO ELO CIA BRAS DE MEIOS DE PAGAMENTO,9338296,110,1,,"R$ 5.992,00",27
08/11/2017,CHEQUE COMPENSADO,385,,-1650,0,"R$ 4.342,00",27
13/11/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,95,1,,"R$ 4.437,00",28
13/11/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,113,90,,"R$ 4.551,00",18
13/11/2017,RECIBO RETIRADA CB ESPECIE,1,,-3500,0,"R$ 1.051,00",18
13/11/2017,SAQUE COM CARTAO CB ESPECIE,5882080,,-1000,0,"R$ 51,00",18
14/11/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,103,19,,"R$ 154,00",37
14/11/2017,TARIFA BANCARIA CESTA PJ 2,11117,,-48,90,"R$ 105,00",47
16/11/2017,CARTAO VISA ELECTRON CIELO SA,9338296,86,87,,"R$ 192,00",34
16/11/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,93,46,,"R$ 285,00",80
16/11/2017,REDE HIPER CRED REDECARD S A,6907268,33,31,,"R$ 319,00",11
17/11/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,46,54,,"R$ 365,00",65
20/11/2017,CARTAO VISA ELECTRON CIELO SA,9338296,80,47,,"R$ 446,00",12
20/11/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,72,22,,"R$ 518,00",34
21/11/2017,SAQUE COM CARTAO CB ESPECIE,5882080,,-500,0,"R$ 18,00",34
22/11/2017,CIELO VDA DEBITO MASTER CIELO SA,9338296,229,77,,"R$ 248,00",11
23/11/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,61,8,,"R$ 309,00",19
23/11/2017,CIELO MASTER ANTECIPACAO CIELO SA,9338296,5600,6,,"R$ 5.909,00",25
23/11/2017,CIELO VISA ANTECIPACAO CIELO SA,9338296,787,84,,"R$ 6.697,00",9
23/11/2017,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,217,6,,"R$ 6.914,00",15
24/11/2017,CARTAO VISA ELECTRON CIELO SA,9338296,38,78,,"R$ 6.952,00",93
24/11/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,141,55,,"R$ 7.094,00",48
27/11/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,54,78,,"R$ 7.149,00",26
27/11/2017,CHEQUE COMPENSADO,382,,-1500,0,"R$ 5.649,00",26
29/11/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,51,38,,"R$ 5.700,00",64
30/11/2017,CARTAO VISA ELECTRON CIELO SA,9338296,47,51,,"R$ 5.748,00",15
30/11/2017,CHEQUE COMPENSADO,395,,-900,0,"R$ 4.848,00",15
30/11/2017,CHEQUE COMPENSADO,380,,-1720,0,"R$ 3.128,00",15
30/11/2017,CHEQUE COMPENSADO,396,,-1100,0,"R$ 2.028,00",15
01/12/2017,CIELO VDA DEBITO MASTER CIELO SA,9338296,27,15,,"R$ 2.055,00",30
01/12/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,96,95,,"R$ 2.152,00",25
01/12/2017,CIELO MASTER ANTECIPACAO CIELO SA,9338296,2638,73,,"R$ 4.790,00",98
01/12/2017,CIELO VISA ANTECIPACAO CIELO SA,9338296,863,44,,"R$ 5.654,00",42
01/12/2017,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,117,53,,"R$ 5.771,00",95
01/12/2017,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,328,80,,"R$ 6.100,00",75
04/12/2017,CARTAO VISA ELECTRON CIELO SA,9338296,45,56,,"R$ 6.146,00",31
04/12/2017,CIELO VDA DEBITO MASTER CIELO SA,9338296,14,54,,"R$ 6.160,00",85
04/12/2017,CIELO VDA DEBITO MASTER CIELO SA,9338296,53,32,,"R$ 6.214,00",17
04/12/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,193,90,,"R$ 6.408,00",7
04/12/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,273,49,,"R$ 6.681,00",56
04/12/2017,REDE HIPER CRED REDECARD S A,6907268,34,26,,"R$ 6.715,00",82
04/12/2017,CHEQUE COMPENSADO,386,,-1650,0,"R$ 5.065,00",82
05/12/2017,CARTAO VISA ELECTRON CIELO SA,9338296,74,17,,"R$ 5.139,00",99
05/12/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,15,51,,"R$ 5.155,00",50
07/12/2017,CIELO VDA DEBITO MASTER CIELO SA,9338296,139,61,,"R$ 5.295,00",11
07/12/2017,SAQUE C/C BDN Ag05882maq026085seq0950207121241,6085502,,-1250,0,"R$ 4.045,00",11
07/12/2017,SAQUE C/C BDN Ag05882maq026085seq0950607121242,6085506,,-750,0,"R$ 3.295,00",11
11/12/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,43,43,,"R$ 3.338,00",54
11/12/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,93,7,,"R$ 3.431,00",61
11/12/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,212,32,,"R$ 3.643,00",93
15/12/2017,TARIFA BANCARIA CESTA PJ 2,11217,,-48,90,"R$ 3.595,00",3
15/12/2017,CHEQUE COMPENSADO,388,,-1900,0,"R$ 1.695,00",3
18/12/2017,CIELO VDA DEBITO MASTER CIELO SA,9338296,87,25,,"R$ 1.782,00",28
18/12/2017,CHEQUE COMPENSADO,393,,-1140,0,"R$ 642,00",28
19/12/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,16,48,,"R$ 658,00",76
20/12/2017,CARTAO VISA ELECTRON CIELO SA,9338296,43,63,,"R$ 702,00",39
20/12/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,96,95,,"R$ 799,00",34
21/12/2017,CIELO VDA DEBITO MASTER CIELO SA,9338296,63,70,,"R$ 863,00",4
21/12/2017,CHEQUE COMPENSADO,400,,-575,0,"R$ 288,00",4
22/12/2017,CIELO VDA DEBITO MASTER CIELO SA,9338296,117,31,,"R$ 405,00",35
22/12/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,100,34,,"R$ 505,00",69
26/12/2017,CARTAO VISA ELECTRON CIELO SA,9338296,80,47,,"R$ 586,00",16
26/12/2017,CIELO VDA DEBITO MASTER CIELO SA,9338296,38,78,,"R$ 624,00",94
26/12/2017,CIELO VDA DEBITO MASTER CIELO SA,9338296,335,92,,"R$ 960,00",86
26/12/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,16,68,,"R$ 977,00",54
26/12/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,72,71,,"R$ 1.050,00",25
26/12/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,367,83,,"R$ 1.418,00",8
26/12/2017,CHEQUE COMPENSADO,383,,-1640,0,"-R$ 221,00",92
26/12/2017,DEVOLUCAO CHQ SEM FUNDOS 11-CHQ.S/FUNDOS 1A.APRES.,383,1640,0,,"R$ 1.418,00",8
26/12/2017,TAXA DEVOLUCAO DE CHEQUE,383,,0,35,"R$ 1.417,00",73
27/12/2017,CARTAO VISA ELECTRON CIELO SA,9338296,97,92,,"R$ 1.515,00",65
27/12/2017,CIELO VDA DEBITO MASTER CIELO SA,9338296,56,72,,"R$ 1.572,00",37
28/12/2017,CIELO VDA DEBITO MASTER CIELO SA,9338296,196,33,,"R$ 1.768,00",70
28/12/2017,CIELO VDA DEBITO ELO CIELO SA,9338296,99,36,,"R$ 1.868,00",6
28/12/2017,CHEQUE COMPENSADO,383,,-1640,0,"R$ 228,00",6
02/01/2018,CARTAO VISA ELECTRON CIELO SA,9338296,54,10,,"R$ 282,00",16
02/01/2018,CARTAO VISA ELECTRON CIELO SA,9338296,120,22,,"R$ 402,00",38
02/01/2018,CARTAO VISA ELECTRON CIELO SA,9338296,256,44,,"R$ 658,00",82
02/01/2018,RECEBIMENTO FORNECEDOR CIELO SA,9338296,53,71,,"R$ 712,00",53
02/01/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,23,27,,"R$ 735,00",80
02/01/2018,CIELO VDA CREDITO MASTER CIELO SA,9338296,793,22,,"R$ 1.529,00",2
02/01/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,63,1,,"R$ 1.592,00",3
02/01/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,81,15,,"R$ 1.673,00",18
02/01/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,88,22,,"R$ 1.761,00",40
02/01/2018,CIELO HIPER CREDITO CIELO SA,9338296,40,9,,"R$ 1.801,00",49
02/01/2018,CIELO MASTER ANTECIPACAO CIELO SA,9338296,15472,71,,"R$ 17.274,00",20
02/01/2018,CIELO VISA ANTECIPACAO CIELO SA,9338296,4833,71,,"R$ 22.107,00",91
02/01/2018,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,268,20,,"R$ 22.376,00",11
02/01/2018,CIELO ANTECIPACAO OUTRAS CIELO SA,9338296,289,27,,"R$ 22.665,00",38
02/01/2018,TARIFA BANCARIA DEVOLUCAO CHEQUE,383,,-33,50,"R$ 22.631,00",88
02/01/2018,CHEQUE COMPENSADO,399,,-575,0,"R$ 22.056,00",88
03/01/2018,RECEBIMENTO FORNECEDOR CIELO SA,9338296,43,11,,"R$ 22.099,00",99
03/01/2018,CIELO VDA CREDITO MASTER CIELO SA,9338296,268,92,,"R$ 22.368,00",91
03/01/2018,CHEQUE COMPENSADO,397,,-1115,0,"R$ 21.253,00",91
04/01/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,56,72,,"R$ 21.310,00",63
04/01/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,43,63,,"R$ 21.354,00",26
04/01/2018,CHEQUE COMPENSADO,387,,-1649,0,"R$ 19.705,00",26
05/01/2018,CHEQUE COMPENSADO,398,,-1560,0,"R$ 18.145,00",26
08/01/2018,CARTAO VISA ELECTRON CIELO SA,9338296,109,55,,"R$ 18.254,00",81
08/01/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,26,18,,"R$ 18.280,00",99
08/01/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,127,97,,"R$ 18.408,00",96
09/01/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,132,82,,"R$ 18.541,00",78
10/01/2018,SAQUE C/C BDN Ag05882maq026085seq0349310011018,6085493,,-2500,0,"R$ 16.041,00",78
10/01/2018,SAQUE C/C BDN Ag05882maq026085seq0349710011019,6085497,,-2500,0,"R$ 13.541,00",78
10/01/2018,CHEQUE COMPENSADO,394,,-1140,0,"R$ 12.401,00",78
11/01/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,188,57,,"R$ 12.590,00",35
11/01/2018,CHEQUE COMPENSADO,401,,-2042,0,"R$ 10.548,00",35
15/01/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,121,82,,"R$ 10.670,00",17
15/01/2018,TARIFA BANCARIA CESTA PJ 2,20118,,-49,90,"R$ 10.620,00",27
16/01/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,31,2,,"R$ 10.651,00",29
16/01/2018,SAQUE COM CARTAO CB ESPECIE,5882080,,-691,85,"R$ 9.959,00",44
17/01/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,63,99,,"R$ 10.023,00",43
18/01/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,53,32,,"R$ 10.076,00",75
19/01/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,29,8,,"R$ 10.105,00",83
19/01/2018,PAGTO ELETRON  COBRANCA PAG COBR VIA BDN,1,,-577,44,"R$ 9.528,00",39
22/01/2018,CARTAO VISA ELECTRON CIELO SA,9338296,135,73,,"R$ 9.664,00",12
22/01/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,67,86,,"R$ 9.731,00",98
22/01/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,12,12,,"R$ 9.744,00",10
23/01/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,11,63,,"R$ 9.755,00",73
24/01/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,19,0,,"R$ 9.774,00",73
25/01/2018,TARIFA BANCARIA TAR ENTREGA TAL DOMICILIO,100001,,-8,20,"R$ 9.766,00",53
26/01/2018,CIELO VDA DEBITO MASTER CIELO SA,9338296,23,27,,"R$ 9.789,00",80
26/01/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,154,73,,"R$ 9.944,00",53
29/01/2018,CARTAO VISA ELECTRON CIELO SA,9338296,43,63,,"R$ 9.988,00",16
29/01/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,3,88,,"R$ 9.992,00",4
29/01/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,134,28,,"R$ 10.126,00",32
30/01/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,19,39,,"R$ 10.145,00",71
30/01/2018,RECIBO RETIRADA CB ESPECIE,1,,-1409,63,"R$ 8.736,00",8
30/01/2018,SAQUE COM CARTAO CB ESPECIE,5882080,,-1000,0,"R$ 7.736,00",8
30/01/2018,CHEQUE COMPENSADO,402,,-1560,0,"R$ 6.176,00",8
31/01/2018,CIELO VDA DEBITO ELO CIELO SA,9338296,90,16,,"R$ 6.266,00",24
01/02/2018,CIELO VDA CREDITO MASTER CIELO SA,9338296,109,2,,"R$ 6.375,00",26
02/02/2018,RECEBIMENTO FORNECEDOR CIELO SA,9338296,44,83,,"R$ 6.420,00",9
